,Address,Price,Details,Links
104,"Common McCormick | 2401 S State St, Chicago, IL","$1,006+ 4 bds",,https://www.zillow.com/apartments/chicago-il/common-mccormick/9RyvjY/
105,"Two West | 2 W Delaware Pl, Chicago, IL","$3,405+ 1 bd","$4,475+ 2 bds$7,125+ 3 bds",https://www.zillow.com/apartments/chicago-il/two-west/5XjYhw/
106,"4500 N Winchester, 4500 N Winchester Ave, Chicago, IL 60640","$1,650+/mo","2 bds 1 ba 1,050 sqft",https://www.zillow.com/apartments/chicago-il/4500-n-winchester/5XgMGx/
107,"Arrive South Loop | 1935 S Wabash Ave, Chicago, IL","$1,900+ 1 bd","$2,265+ 2 bds",https://www.zillow.com/apartments/chicago-il/arrive-south-loop/5Xfzqt/
108,"5401-5403 S. Woodlawn Avenue | 5401-5403 S Woodlawn Ave, Chicago, IL","$2,000+ 3 bds",,https://www.zillow.com/apartments/chicago-il/5401.dash.5403-s.-woodlawn-avenue/5Xgfp9/
109,"The Morse Wolcott | 1902 W Morse Ave, Chicago, IL","$1,900+ 2 bds","$2,200+ 3 bds",https://www.zillow.com/apartments/chicago-il/the-morse-wolcott/5XjGhj/
110,"5325 S. Hyde Park Boulevard, 5325 S Hyde Park Blvd #B1, Chicago, IL 60615","$1,700/mo",1 bd 1 ba 835 sqft,https://www.zillow.com/apartments/chicago-il/5325-s.-hyde-park-boulevard/5XfhNP/
111,"813-31 West Waveland | 813 W Waveland Ave, Chicago, IL","$1,550+ 1 bd","$1,995+ 2 bds",https://www.zillow.com/apartments/chicago-il/813.dash.31-west-waveland/5XcvKg/
112,"4101-13 N. Kedzie / 3148-56 W. Belle Plaine | 4101 N Kedzie Ave, Chicago, IL","$1,275+ 1 bd",,https://www.zillow.com/apartments/chicago-il/4101.dash.13-n.-kedzie-3148.dash.56-w.-belle-plaine/F4tQ/
113,"632 West Addison, 632 W Addison St, Chicago, IL 60613","$1,560+/mo",1 bd 1 ba 600 sqft,https://www.zillow.com/apartments/chicago-il/632-west-addison/5XcZFX/
114,"MODE Logan Square | 1950 N Campbell Ave, Chicago, IL","$1,694+ Studio","$4,460+ 2 bds",https://www.zillow.com/apartments/chicago-il/mode-logan-square/B63kkD/
115,"5300-5308 S. Greenwood Avenue, 5300-5308 S Greenwood Ave #5308-3, Chicago, IL 60615","$2,000/mo","3 bds 1 ba 1,145 sqft",https://www.zillow.com/apartments/chicago-il/5300.dash.5308-s.-greenwood-avenue/9ggJFY/
116,"2051 N. Sedgwick, 2051 N Sedgwick St, Chicago, IL 60614","$1,225+/mo",Studio 1 ba-- sqft,https://www.zillow.com/apartments/chicago-il/2051-n.-sedgwick/5XgmmT/
117,"2244 N. Cleveland, 2244 N Cleveland Ave, Chicago, IL 60614","$1,195+/mo",Studio 1 ba-- sqft,https://www.zillow.com/apartments/chicago-il/2244-n.-cleveland/5XjCcf/
118,"Eleven40 | 1140 S Wabash Ave, Chicago, IL","$1,615+ Studio","$1,891+ 1 bd$3,127+ 2 bds",https://www.zillow.com/apartments/chicago-il/eleven40/9Rwpvh/
119,"Motley School Apartments, 739 N Ada St #739-202, Chicago, IL 60642","$4,200/mo","2 bds 3 ba 1,255 sqft",https://www.zillow.com/apartments/chicago-il/motley-school-apartments/9S4nYk/
120,"5512 S. Hyde Park Boulevard, 5512 S Hyde Park Blvd, Chicago, IL 60637","$3,300+/mo","4 bds 2 ba 1,810 sqft",https://www.zillow.com/apartments/chicago-il/5512-s.-hyde-park-boulevard/CTmG/
121,"1623 W Belmont | 1623 W Belmont Ave, Chicago, IL","$1,495+ 1 bd",,https://www.zillow.com/apartments/chicago-il/1623-w-belmont/9zHk/
122,"596 West Hawthorne, 596 W Hawthorne Pl, Chicago, IL 60657","$1,289+/mo",Studio 1 ba-- sqft,https://www.zillow.com/apartments/chicago-il/596-west-hawthorne/5Xj9yk/
123,"Cleveland Apartments, 2048 N Cleveland Ave #209, Chicago, IL 60614","$1,295/mo",Studio 1 ba 325 sqft,https://www.zillow.com/apartments/chicago-il/cleveland-apartments/5XfWC2/
124,"Solstice on the Park | 1616 E 56th St, Chicago, IL","$2,700+ 1 bd","$3,500+ 2 bds$5,200+ 3 bds",https://www.zillow.com/apartments/chicago-il/solstice-on-the-park/9ht9g2/
125,"The June | 5155 N Broadway St, Chicago, IL","$1,290+ Studio","$1,825+ 1 bd",https://www.zillow.com/apartments/chicago-il/the-june/CSCK/
126,"5128-5132 S. Cornell Avenue, 5128-5132 S Cornell Ave #5132-3, Chicago, IL 60615","$1,695/mo","2 bds 1 ba 1,083 sqft",https://www.zillow.com/apartments/chicago-il/5128.dash.5132-s.-cornell-avenue/9ggKFv/
127,"5326-5336 S. Greenwood Avenue | 5326-5336 S Greenwood Ave, Chicago, IL","$1,900+ 2 bds",,https://www.zillow.com/apartments/chicago-il/5326.dash.5336-s.-greenwood-avenue/9ggKHg/
128,"Woodlawn Court, 5218 S Woodlawn Ave #28-3W, Chicago, IL 60615","$1,870/mo",2 bds 1 ba 800 sqft,https://www.zillow.com/apartments/chicago-il/woodlawn-court/5XkrfF/
129,"Atrium West | 5908-5920 W 55th St, Chicago, IL","$1,300+ 2 bds",,https://www.zillow.com/apartments/chicago-il/atrium-west/BFLQwK/
130,"148 N La Crosse Ave, 148 N La Crosse Ave #4834-2, Chicago, IL 60644","$1,280/mo",2 bds 1 ba 710 sqft,https://www.zillow.com/apartments/chicago-il/148-n-la-crosse-ave/5XhF7c/
131,"Sheridan Terrace - 6725 N Sheridan Rd, 6725 N Sheridan Rd, Chicago, IL 60626","$1,200+/mo",1 bd 1 ba 720 sqft,https://www.zillow.com/apartments/chicago-il/sheridan-terrace-.dash.-6725-n-sheridan-rd/5Xfcjm/
132,"7236 S Yates Blvd, 7236 S Yates Blvd, Chicago, IL 60649","$1,220+/mo","3 bds 1 ba 1,091 sqft",https://www.zillow.com/apartments/chicago-il/7236-s-yates-blvd/9S5Yx7/
